timestamp_ns,seq,real,imag
1775059750378728548,10086,0x555C000A,0xAAAC0005
1775059750378739851,10087,0x555C000A,0xAAAC0005
1775059750378751206,10088,0x555C000A,0xAAAC0005
1775059750378762456,10089,0x555C000A,0xAAAC0005
1775059750378773915,10090,0x555C000A,0xAAAC0005
1775059750378785375,10091,0x555C000A,0xAAAC0005
1775059750378796990,10092,0x555C000A,0xAAAC0005
1775059750378808605,10093,0x555C000A,0xAAAC0005
1775059750378820116,10094,0x555C000A,0xAAAC0005
1775059750378831784,10095,0x555C000A,0xAAAC0005
1775059750378843347,10096,0x555C000A,0xAAAC0005
1775059750378854702,10097,0x555C000A,0xAAAC0005
1775059750378866265,10098,0x555C000A,0xAAAC0005
1775059750378878141,10099,0x555C000A,0xAAAC0005
1775059750378889548,10100,0x555C000A,0xAAAC0005
1775059750378901371,10101,0x555C000A,0xAAAC0005
1775059750378913091,10102,0x555C000A,0xAAAC0005
1775059750378924967,10103,0x555C000A,0xAAAC0005
1775059750378936374,10104,0x555C000A,0xAAAC0005
1775059750378947885,10105,0x555C000A,0xAAAC0005
1775059750378960021,10106,0x555C000A,0xAAAC0005
1775059750378972313,10107,0x555C000A,0xAAAC0005
1775059750378984189,10108,0x555C000A,0xAAAC0005
1775059750378995648,10109,0x555C000A,0xAAAC0005
1775059750379007368,10110,0x555C000A,0xAAAC0005
1775059750379019712,10111,0x555C000A,0xAAAC0005
1775059750379031432,10112,0x555C000A,0xAAAC0005
1775059750379043516,10113,0x555C000A,0xAAAC0005
1775059750379055392,10114,0x555C000A,0xAAAC0005
1775059750379071226,10115,0x555C000A,0xAAAC0005
1775059750379083831,10116,0x555C000A,0xAAAC0005
1775059750379095759,10117,0x555C000A,0xAAAC0005
1775059750379108832,10118,0x555C000A,0xAAAC0005
1775059750379120812,10119,0x555C000A,0xAAAC0005
1775059750379132896,10120,0x555C000A,0xAAAC0005
1775059750379145449,10121,0x555C000A,0xAAAC0005
1775059750379157377,10122,0x555C000A,0xAAAC0005
1775059750379169305,10123,0x555C000A,0xAAAC0005
1775059750379180920,10124,0x555C000A,0xAAAC0005
1775059750379192640,10125,0x555C000A,0xAAAC0005
1775059750379204307,10126,0x555C000A,0xAAAC0005
1775059750379215610,10127,0x555C000A,0xAAAC0005
1775059750379227069,10128,0x555C000A,0xAAAC0005
1775059750379238424,10129,0x555C000A,0xAAAC0005
1775059750379250352,10130,0x555C000A,0xAAAC0005
1775059750379261602,10131,0x555C000A,0xAAAC0005
1775059750379273166,10132,0x555C000A,0xAAAC0005
1775059750379284468,10133,0x555C000A,0xAAAC0005
1775059750379295927,10134,0x555C000A,0xAAAC0005
1775059750379307334,10135,0x555C000A,0xAAAC0005
1775059750379319002,10136,0x555C000A,0xAAAC0005
1775059750379330357,10137,0x555C000A,0xAAAC0005
1775059750379341920,10138,0x555C000A,0xAAAC0005
1775059750379353431,10139,0x555C000A,0xAAAC0005
1775059750379365098,10140,0x555C000A,0xAAAC0005
1775059750379376714,10141,0x555C000A,0xAAAC0005
1775059750379388277,10142,0x555C000A,0xAAAC0005
1775059750379399892,10143,0x555C000A,0xAAAC0005
1775059750379411560,10144,0x555C000A,0xAAAC0005
1775059750379423071,10145,0x555C000A,0xAAAC0005
1775059750379434634,10146,0x555C000A,0xAAAC0005
1775059750379446197,10147,0x555C000A,0xAAAC0005
1775059750379457761,10148,0x555C000A,0xAAAC0005
1775059750379469324,10149,0x555C000A,0xAAAC0005
1775059750379480939,10150,0x555C000A,0xAAAC0005
1775059750379492554,10151,0x555C000A,0xAAAC0005
1775059750379504326,10152,0x555C000A,0xAAAC0005
1775059750379515733,10153,0x555C000A,0xAAAC0005
1775059750379527817,10154,0x555C000A,0xAAAC0005
1775059750379539276,10155,0x555C000A,0xAAAC0005
1775059750379550839,10156,0x555C000A,0xAAAC0005
1775059750379565372,10157,0x555C000A,0xAAAC0005
1775059750379577716,10158,0x555C000A,0xAAAC0005
1775059750379590842,10159,0x555C000A,0xAAAC0005
1775059750379602613,10160,0x555C000A,0xAAAC0005
1775059750379614437,10161,0x555C000A,0xAAAC0005
1775059750379626938,10162,0x555C000A,0xAAAC0005
1775059750379638762,10163,0x555C000A,0xAAAC0005
1775059750379650533,10164,0x555C000A,0xAAAC0005
1775059750379662253,10165,0x555C000A,0xAAAC0005
1775059750379674649,10166,0x555C000A,0xAAAC0005
1775059750379686317,10167,0x555C000A,0xAAAC0005
1775059750379697984,10168,0x555C000A,0xAAAC0005
1775059750379709704,10169,0x555C000A,0xAAAC0005
1775059750379721267,10170,0x555C000A,0xAAAC0005
1775059750379732986,10171,0x555C000A,0xAAAC0005
1775059750379744654,10172,0x555C000A,0xAAAC0005
1775059750379756477,10173,0x555C000A,0xAAAC0005
1775059750379768197,10174,0x555C000A,0xAAAC0005
1775059750379779864,10175,0x555C000A,0xAAAC0005
1775059750379791792,10176,0x555C000A,0xAAAC0005
1775059750379803512,10177,0x555C000A,0xAAAC0005
1775059750379816377,10178,0x555C000A,0xAAAC0005
1775059750379828148,10179,0x555C000A,0xAAAC0005
1775059750379860963,10180,0x555C000A,0xAAAC0005
1775059750379872995,10181,0x555C000A,0xAAAC0005
1775059750379884662,10182,0x555C000A,0xAAAC0005
1775059750379896538,10183,0x555C000A,0xAAAC0005
1775059750379908206,10184,0x555C000A,0xAAAC0005
1775059750379921123,10185,0x555C000A,0xAAAC0005
1775059750379932895,10186,0x555C000A,0xAAAC0005
1775059750379944562,10187,0x555C000A,0xAAAC0005
1775059750379956334,10188,0x555C000A,0xAAAC0005
1775059750379969199,10189,0x555C000A,0xAAAC0005
1775059750379981387,10190,0x555C000A,0xAAAC0005
